id,name,prefix,division_id
1,Barguna,BRG,1
2,Barisal,BAR,1
3,Bhola,BHO,1
4,Jhalokati,JHL,1
5,Patuakhali,PAT,1
6,Pirojpur,PIR,1
7,Bandarban,BAN,2
8,Brahmanbaria,BRA,2
9,Chandpur,CHP,2
10,Chittagong,CTG,2
11,Comilla,COM,2
12,Cox's Bazar,CXZ,2
13,Feni,FEN,2
14,Khagrachhari,KHG,2
15,Lakshmipur,LAK,2
16,Noakhali,NHK,2
17,Rangamati,RGM,2
18,Dhaka,DHK,3
19,Faridpur,FRD,3
20,Gazipur,GZP,3
21,Gopalganj,GPG,3
22,Kishoreganj,KSG,3
23,Madaripur,MDP,3
24,Manikganj,MNG,3
25,Munshiganj,MSG,3
26,Narayangonj,NRG,3
27,Narsingdi,NSD,3
28,Rajbari,RJB,3
29,Shariatpur,SRP,3
30,Tangail,TNG,3
31,Bagerhat,BGH,4
32,Chuadanga,CHD,4
33,Jessore,JSR,4
34,Jhenaidah,JHD,4
35,Khulna,KHL,4
36,Kushtia,KHT,4
37,Magura,MGR,4
38,Meherpur,MHP,4
39,Narail,NAR,4
40,Satkhira,SKH,4
41,Jamalpur,JAM,5
42,Mymensingh,MYM,5
43,Netrakona,NET,5
44,Sherpur,SHE,5
45,Bogra,BOG,6
46,Joypurhat,JOY,6
47,Naogaon,NAO,6
48,Natore,NAT,6
49,Chapainawabganj,CPG,6
50,Pabna,PAB,6
51,Rajshahi,RAJ,6
52,Sirajganj,SIR,6
53,Dinajpur,DIN,7
54,Gaibandha,GAI,7
55,Kurigram,KUR,7
56,Lalmonirhat,LAL,7
57,Nilphamari,NIL,7
58,Panchagarh,PAN,7
59,Rangpur,RAN,7
60,Thakurgaon,THA,7
61,Habiganj,HAB,8
62,Moulvibazar,MOU,8
63,Sunamganj,SUN,8
64,Sylhet,SYL,8
